station,entries,exits
Towradgi,1605,1384
Tuggerah,25725,24259
Turramurra,82566,78272
Turrella,23353,21482
Unanderra,8737,7890
Valley Heights,1231,982
Victoria Cross,387425,373323
Victoria Street,6373,6053
Villawood,11427,10945
Vineyard,3618,3264
Wahroonga,42932,40757
Waitara,68502,63412
Wallarobba,Less than 50,Less than 50
Warabrook,3889,3903
Waratah,3736,3451
Warnervale,5218,4698
Warrawee,20996,19029
Warrimoo,2343,2135
Warwick Farm,53238,48281
Waterfall,8422,8494
Waterloo,150773,145713
Waverton,44419,39939
Wentworth Falls,7060,6889
Wentworthville,85120,81181
Werrington,27958,24927
West Ryde,106446,107432
Westmead,147206,136760
Windsor,14491,14260
Wingello,Less than 50,Less than 50
Wirragulla,Less than 50,Less than 50
Wolli Creek,210937,212647
Wollongong,40242,39515
Wollstonecraft,45740,42396
Wombarra,597,479
Wondabyne,411,492
Woodford,1503,1487
Woolooware,23466,22574
Woonona,2320,2073
Woy Woy,75358,75958
Wyee,5860,5152
Wynyard,1114829,1187958
Wyong,29652,27554
Yagoona,848,737
Yennora,23165,23656
Yerrinbool,316,257
Zig Zag,Less than 50,Less than 50
