station,entries,exits
Teralba,1011,890
Thirroul,18222,15919
Thornleigh,37034,35337
Thornton,5433,4918
Toongabbie,63394,60699
Town Hall,1750259,1657599
Towradgi,1434,1274
Tuggerah,25628,24140
Turramurra,77546,73952
Turrella,22307,20834
Unanderra,7814,6981
Valley Heights,1259,1222
Victoria Cross,384284,374141
Victoria Street,6151,5700
Villawood,11688,11436
Vineyard,3755,3450
Wahroonga,37227,36036
Waitara,63192,59134
Wallarobba,Less than 50,Less than 50
Warabrook,4348,4364
Waratah,3626,3498
Warnervale,4653,4192
Warrawee,18206,17396
Warrimoo,2257,2051
Warwick Farm,53096,47950
Waterfall,9179,9247
Waterloo,152713,145706
Waverton,43074,38307
Wentworth Falls,6828,6493
Wentworthville,87263,83990
Werrington,28272,25224
West Ryde,103186,103691
Westmead,147297,136929
Wiley Park,Less than 50,Less than 50
Windsor,15700,15166
Wingello,Less than 50,Less than 50
Wirragulla,Less than 50,Less than 50
Wolli Creek,199532,199740
Wollongong,35906,35831
Wollstonecraft,44105,40450
Wombarra,351,328
Wondabyne,399,463
Woodford,1500,1366
Woolooware,25385,24454
Woonona,2155,1798
Woy Woy,74821,74714
Wyee,4973,4319
Wynyard,1081387,1143945
Wyong,30060,28973
Yagoona,19824,18721
Yennora,23788,24254
Yerrinbool,337,303
Zig Zag,78,123
