MonthYear,Station,Station_Type ,Entry_Exit,Trip
Aug-24,Castle Hill  Station,Metro,Entry,171687
Aug-24,Casula  Station,Train,Exit,8806
Aug-24,Casula  Station,Train,Entry,10097
Aug-24,Central  Station,Shared,Exit,2274416
Aug-24,Central  Station,Shared,Entry,2228837
Aug-24,Chatswood  Station,Shared,Exit,817392
Aug-24,Chatswood  Station,Shared,Entry,790246
Aug-24,Cheltenham  Station,Train,Exit,20351
Aug-24,Cheltenham  Station,Train,Entry,25185
Aug-24,Cherrybrook  Station,Metro,Exit,103230
Aug-24,Cherrybrook  Station,Metro,Entry,110326
Aug-24,Chester Hill  Station,Train,Exit,24100
Aug-24,Chester Hill  Station,Train,Entry,25375
Aug-24,Circular Quay  Station,Train,Exit,570600
Aug-24,Circular Quay  Station,Train,Entry,558526
Aug-24,Clarendon  Station,Train,Exit,1587
Aug-24,Clarendon  Station,Train,Entry,1664
Aug-24,Clyde  Station,Train,Exit,24148
Aug-24,Clyde  Station,Train,Entry,25512
Aug-24,Coalcliff  Station,Train,Exit,442
Aug-24,Coalcliff  Station,Train,Entry,519
Aug-24,Cockle Creek  Station,Train,Exit,1196
Aug-24,Cockle Creek  Station,Train,Entry,1136
Aug-24,Coledale  Station,Train,Exit,756
Aug-24,Coledale  Station,Train,Entry,878
Aug-24,Como  Station,Train,Exit,13087
Aug-24,Como  Station,Train,Entry,15122
Aug-24,Concord West  Station,Train,Exit,45399
Aug-24,Concord West  Station,Train,Entry,48333
Aug-24,Coniston  Station,Train,Exit,5637
Aug-24,Coniston  Station,Train,Entry,6083
Aug-24,Corrimal  Station,Train,Exit,2914
Aug-24,Corrimal  Station,Train,Entry,3451
Aug-24,Cowan  Station,Train,Exit,1361
Aug-24,Cowan  Station,Train,Entry,1235
Aug-24,Cringila  Station,Train,Exit,360
Aug-24,Cringila  Station,Train,Entry,302
Aug-24,Cronulla  Station,Train,Exit,58760
Aug-24,Cronulla  Station,Train,Entry,59707
Aug-24,Crows Nest  Station,Metro,Exit,123131
Aug-24,Crows Nest  Station,Metro,Entry,120295
Aug-24,Croydon  Station,Train,Exit,52412
Aug-24,Croydon  Station,Train,Entry,57958
Aug-24,Dapto  Station,Train,Exit,10798
Aug-24,Dapto  Station,Train,Entry,12142
Aug-24,Denistone  Station,Train,Exit,12067
Aug-24,Denistone  Station,Train,Entry,13686
Aug-24,Domestic Bus,Train,Exit,Less than 50
Aug-24,Domestic Bus,Train,Entry,238
Aug-24,Domestic  Station,Train,Exit,199709
Aug-24,Domestic  Station,Train,Entry,227757
Aug-24,Doonside  Station,Train,Exit,62862
Aug-24,Doonside  Station,Train,Entry,69364
Aug-24,Dora Creek  Station,Train,Exit,885
Aug-24,Dora Creek  Station,Train,Entry,1022
Aug-24,Douglas Park  Station,Train,Exit,464
Aug-24,Douglas Park  Station,Train,Entry,512
Aug-24,Dulwich Hill  Station,Train,Exit,47722
Aug-24,Dulwich Hill  Station,Train,Entry,53372
Aug-24,Dundas Station,Train,Exit,2785
Aug-24,Dundas Station,Train,Entry,2907
Aug-24,Dungog  Station,Train,Exit,419
Aug-24,Dungog  Station,Train,Entry,487
Aug-24,East Hills  Station,Train,Exit,17939
Aug-24,East Hills  Station,Train,Entry,19333
Aug-24,East Maitland  Station,Train,Exit,513
Aug-24,East Maitland  Station,Train,Entry,541
Aug-24,East Richmond  Station,Train,Exit,7647
Aug-24,East Richmond  Station,Train,Entry,5088
Aug-24,Eastwood  Station,Train,Exit,186001
Aug-24,Eastwood  Station,Train,Entry,183827
Aug-24,Edgecliff  Station,Train,Exit,188445
Aug-24,Edgecliff  Station,Train,Entry,196308
Aug-24,Edmondson Park  Station,Train,Exit,99624
Aug-24,Edmondson Park  Station,Train,Entry,104045
Aug-24,Emu Plains  Station,Train,Exit,22961
Aug-24,Emu Plains  Station,Train,Entry,24708
Aug-24,Engadine  Station,Train,Exit,27027
Aug-24,Engadine  Station,Train,Entry,29000
Aug-24,Epping  Station,Shared,Exit,361399
Aug-24,Epping  Station,Shared,Entry,368591
Aug-24,Erskineville  Station,Train,Exit,61978
Aug-24,Erskineville  Station,Train,Entry,68050
Aug-24,Exeter  Station,Train,Exit,77
Aug-24,Exeter  Station,Train,Entry,114
Aug-24,Fairfield  Station,Train,Exit,144091
Aug-24,Fairfield  Station,Train,Entry,149471
Aug-24,Fairy Meadow  Station,Train,Exit,2517
Aug-24,Fairy Meadow  Station,Train,Entry,2902
Aug-24,Fassifern  Station,Train,Exit,8228
Aug-24,Fassifern  Station,Train,Entry,9432
Aug-24,Faulconbridge  Station,Train,Exit,1967
Aug-24,Faulconbridge  Station,Train,Entry,2131
Aug-24,Flemington  Station,Train,Exit,130448
Aug-24,Flemington  Station,Train,Entry,136040
Aug-24,Gadigal  Station,Metro,Exit,181321
Aug-24,Gadigal  Station,Metro,Entry,180846
Aug-24,Gerringong  Station,Train,Exit,1081
Aug-24,Gerringong  Station,Train,Entry,1125
Aug-24,Glenbrook  Station,Train,Exit,8306
Aug-24,Glenbrook  Station,Train,Entry,9229
Aug-24,Glenfield  Station,Train,Exit,128568
Aug-24,Glenfield  Station,Train,Entry,136460
Aug-24,Gordon  Station,Train,Exit,159844
Aug-24,Gordon  Station,Train,Entry,163892
Aug-24,Gosford  Station,Train,Exit,101851
Aug-24,Gosford  Station,Train,Entry,102768
Aug-24,Goulburn  Station,Train,Exit,853
Aug-24,Goulburn  Station,Train,Entry,1104
Aug-24,Granville  Station,Train,Exit,176266
Aug-24,Granville  Station,Train,Entry,187039
Aug-24,Green Square  Station,Train,Exit,259512
Aug-24,Green Square  Station,Train,Entry,268913
Aug-24,Greta  Station,Train,Exit,Less than 50
Aug-24,Greta  Station,Train,Entry,Less than 50
Aug-24,Guildford  Station,Train,Exit,69113
Aug-24,Guildford  Station,Train,Entry,76926
Aug-24,Gymea  Station,Train,Exit,42346
Aug-24,Gymea  Station,Train,Entry,45618
Aug-24,Hamilton  Station,Train,Exit,16230
Aug-24,Hamilton  Station,Train,Entry,16303
Aug-24,Harris Park  Station,Train,Exit,74634
Aug-24,Harris Park  Station,Train,Entry,73510
Aug-24,Hawkesbury River  Station,Train,Exit,5951
Aug-24,Hawkesbury River  Station,Train,Entry,6170
Aug-24,Hazelbrook  Station,Train,Exit,5906
Aug-24,Hazelbrook  Station,Train,Entry,6263
Aug-24,Heathcote  Station,Train,Exit,11758
Aug-24,Heathcote  Station,Train,Entry,12375
Aug-24,Helensburgh  Station,Train,Exit,8878
Aug-24,Helensburgh  Station,Train,Entry,9575
Aug-24,Hexham  Station,Train,Exit,192
Aug-24,Hexham  Station,Train,Entry,183
Aug-24,High Street  Station,Train,Exit,397
Aug-24,High Street  Station,Train,Entry,322
Aug-24,Hilldale  Station,Train,Exit,Less than 50
Aug-24,Hilldale  Station,Train,Entry,Less than 50
Aug-24,Hills Showground  Station,Metro,Exit,88507
Aug-24,Hills Showground  Station,Metro,Entry,92194
Aug-24,Holsworthy  Station,Train,Exit,66731
Aug-24,Holsworthy  Station,Train,Entry,70927
Aug-24,Homebush  Station,Train,Exit,88595
Aug-24,Homebush  Station,Train,Entry,96542
Aug-24,Hornsby  Station,Train,Exit,310154
Aug-24,Hornsby  Station,Train,Entry,304924
Aug-24,Hurlstone Park  Station,Train,Exit,24793
Aug-24,Hurlstone Park  Station,Train,Entry,27877
Aug-24,Hurstville  Station,Train,Exit,507526
Aug-24,Hurstville  Station,Train,Entry,498789
Aug-24,Ingleburn  Station,Train,Exit,73510
Aug-24,Ingleburn  Station,Train,Entry,74487
Aug-24,International Bus,Train,Exit,54
Aug-24,International Bus,Train,Entry,138
Aug-24,International  Station,Train,Exit,129186
Aug-24,International  Station,Train,Entry,135235
Aug-24,Jannali  Station,Train,Exit,54128
Aug-24,Jannali  Station,Train,Entry,57334
Aug-24,Katoomba  Station,Train,Exit,34523
Aug-24,Katoomba  Station,Train,Entry,34178
Aug-24,Kellyville  Station,Metro,Exit,95667
Aug-24,Kellyville  Station,Metro,Entry,97828
Aug-24,Kembla Grange  Station,Train,Exit,189
Aug-24,Kembla Grange  Station,Train,Entry,178
Aug-24,Kiama  Station,Train,Exit,13676
Aug-24,Kiama  Station,Train,Entry,14070
Aug-24,Killara  Station,Train,Exit,45178
Aug-24,Killara  Station,Train,Entry,48195
Aug-24,Kings Cross  Station,Train,Exit,349482
Aug-24,Kings Cross  Station,Train,Entry,335233
Aug-24,Kingsgrove  Station,Train,Exit,46517
Aug-24,Kingsgrove  Station,Train,Entry,49275
Aug-24,Kingswood  Station,Train,Exit,51055
Aug-24,Kingswood  Station,Train,Entry,55484
Aug-24,Kirrawee  Station,Train,Exit,40725
Aug-24,Kirrawee  Station,Train,Entry,42330
Aug-24,Kogarah  Station,Train,Exit,264507
Aug-24,Kogarah  Station,Train,Entry,274054
Aug-24,Koolewong  Station,Train,Exit,1186
Aug-24,Koolewong  Station,Train,Entry,1548
Aug-24,Kotara  Station,Train,Exit,1758
Aug-24,Kotara  Station,Train,Entry,1455
Aug-24,Lakemba  Station,Train,Exit,92760
Aug-24,Lakemba  Station,Train,Entry,95678
Aug-24,Lapstone  Station,Train,Exit,1631
Aug-24,Lapstone  Station,Train,Entry,1907
Aug-24,Lawson  Station,Train,Exit,3176
Aug-24,Lawson  Station,Train,Entry,3360
Aug-24,Leightonfield  Station,Train,Exit,5219
Aug-24,Leightonfield  Station,Train,Entry,5421
Aug-24,Leppington  Station,Train,Exit,96499
Aug-24,Leppington  Station,Train,Entry,101457
Aug-24,Leumeah  Station,Train,Exit,57936
Aug-24,Leumeah  Station,Train,Entry,61159
Aug-24,Leura  Station,Train,Exit,7772
Aug-24,Leura  Station,Train,Entry,9565
Aug-24,Lewisham  Station,Train,Exit,57614
Aug-24,Lewisham  Station,Train,Entry,63423
Aug-24,Lidcombe  Station,Train,Exit,339106
Aug-24,Lidcombe  Station,Train,Entry,348850
Aug-24,Linden  Station,Train,Exit,265
Aug-24,Linden  Station,Train,Entry,359
Aug-24,Lindfield  Station,Train,Exit,92650
Aug-24,Lindfield  Station,Train,Entry,94119
Aug-24,Lisarow  Station,Train,Exit,2855
Aug-24,Lisarow  Station,Train,Entry,3110
Aug-24,Lithgow  Station,Train,Exit,4620
Aug-24,Lithgow  Station,Train,Entry,5260
Aug-24,Liverpool  Station,Train,Exit,229023
Aug-24,Liverpool  Station,Train,Entry,230335
Aug-24,Lochinvar  Station,Train,Exit,Less than 50
Aug-24,Lochinvar  Station,Train,Entry,Less than 50
Aug-24,Loftus  Station,Train,Exit,8757
Aug-24,Loftus  Station,Train,Entry,9511
Aug-24,Lysaghts  Station,Train,Exit,Less than 50
Aug-24,Lysaghts  Station,Train,Entry,Less than 50
Aug-24,Macarthur  Station,Train,Exit,78876
Aug-24,Macarthur  Station,Train,Entry,80261
Aug-24,Macdonaldtown  Station,Train,Exit,24031
Aug-24,Macdonaldtown  Station,Train,Entry,24624
Aug-24,Macquarie Fields  Station,Train,Exit,20379
Aug-24,Macquarie Fields  Station,Train,Entry,22409
Aug-24,Macquarie Park  Station,Metro,Exit,102239
